date,daily_return,equity
2022-01-01 00:00:00+00:00,0.00016323487802424525,1.0001632348780243
2022-01-02 00:00:00+00:00,0.0,1.0001632348780243
2022-01-03 00:00:00+00:00,0.0,1.0001632348780243
2022-01-04 00:00:00+00:00,0.0,1.0001632348780243
2022-01-05 00:00:00+00:00,0.0,1.0001632348780243
2022-01-06 00:00:00+00:00,0.0,1.0001632348780243
2022-01-07 00:00:00+00:00,0.0,1.0001632348780243
2022-01-08 00:00:00+00:00,0.0,1.0001632348780243
2022-01-09 00:00:00+00:00,0.0,1.0001632348780243
2022-01-10 00:00:00+00:00,0.0,1.0001632348780243
2022-01-11 00:00:00+00:00,0.0,1.0001632348780243
2022-01-12 00:00:00+00:00,0.0,1.0001632348780243
2022-01-13 00:00:00+00:00,0.0,1.0001632348780243
2022-01-14 00:00:00+00:00,0.0,1.0001632348780243
2022-01-15 00:00:00+00:00,0.0,1.0001632348780243
2022-01-16 00:00:00+00:00,0.0,1.0001632348780243
2022-01-17 00:00:00+00:00,0.0,1.0001632348780243
2022-01-18 00:00:00+00:00,0.0,1.0001632348780243
2022-01-19 00:00:00+00:00,0.0,1.0001632348780243
2022-01-20 00:00:00+00:00,0.0,1.0001632348780243
2022-01-21 00:00:00+00:00,0.0,1.0001632348780243
2022-01-22 00:00:00+00:00,0.0,1.0001632348780243
2022-01-23 00:00:00+00:00,0.0,1.0001632348780243
2022-01-24 00:00:00+00:00,0.0,1.0001632348780243
2022-01-25 00:00:00+00:00,0.0,1.0001632348780243
2022-01-26 00:00:00+00:00,0.0,1.0001632348780243
2022-01-27 00:00:00+00:00,0.0,1.0001632348780243
2022-01-28 00:00:00+00:00,0.0,1.0001632348780243
2022-01-29 00:00:00+00:00,0.0,1.0001632348780243
2022-01-30 00:00:00+00:00,0.0,1.0001632348780243
2022-01-31 00:00:00+00:00,0.0,1.0001632348780243
2022-02-01 00:00:00+00:00,0.0,1.0001632348780243
2022-02-02 00:00:00+00:00,0.0,1.0001632348780243
2022-02-03 00:00:00+00:00,0.0,1.0001632348780243
2022-02-04 00:00:00+00:00,0.0,1.0001632348780243
2022-02-05 00:00:00+00:00,-1.2872489357588058e-05,1.0001503602874275
2022-02-06 00:00:00+00:00,0.00030904671216863813,1.0004594534679487
2022-02-07 00:00:00+00:00,0.00051401180236067,1.0009737014348146
2022-02-08 00:00:00+00:00,-1.4959854404160539e-05,1.0009587270139788
2022-02-09 00:00:00+00:00,0.00035879694394469654,1.0013178679462462
2022-02-10 00:00:00+00:00,-0.0005847799565252103,1.0007323173269607
2022-02-11 00:00:00+00:00,-0.0005709459693742511,1.0001609532439604
2022-02-12 00:00:00+00:00,-6.199841045198453e-05,1.000098944854663
2022-02-13 00:00:00+00:00,-0.00014325684080311019,0.9999556738393327
2022-02-14 00:00:00+00:00,0.0002359836488484838,1.0001916470279322
2022-02-15 00:00:00+00:00,0.0010186576838955791,1.0012104999345453
2022-02-16 00:00:00+00:00,-0.0002925539816875809,1.000917591816282
2022-02-17 00:00:00+00:00,-0.0009740493451133455,0.999942648691461
2022-02-18 00:00:00+00:00,-0.0002547057671803611,0.9996879575319897
2022-02-19 00:00:00+00:00,-4.4209183190200945e-06,0.999683537993185
2022-02-20 00:00:00+00:00,0.0,0.999683537993185
2022-02-21 00:00:00+00:00,0.0,0.999683537993185
2022-02-22 00:00:00+00:00,0.0,0.999683537993185
2022-02-23 00:00:00+00:00,0.0,0.999683537993185
2022-02-24 00:00:00+00:00,0.0,0.999683537993185
2022-02-25 00:00:00+00:00,0.0,0.999683537993185
2022-02-26 00:00:00+00:00,0.0,0.999683537993185
2022-02-27 00:00:00+00:00,0.0,0.999683537993185
2022-02-28 00:00:00+00:00,0.0,0.999683537993185
2022-03-01 00:00:00+00:00,0.0,0.999683537993185
2022-03-02 00:00:00+00:00,0.0,0.999683537993185
2022-03-03 00:00:00+00:00,0.0,0.999683537993185
2022-03-04 00:00:00+00:00,0.0,0.999683537993185
2022-03-05 00:00:00+00:00,0.0,0.999683537993185
2022-03-06 00:00:00+00:00,0.0,0.999683537993185
2022-03-07 00:00:00+00:00,0.0,0.999683537993185
2022-03-08 00:00:00+00:00,0.0,0.999683537993185
2022-03-09 00:00:00+00:00,0.0,0.999683537993185
2022-03-10 00:00:00+00:00,0.0,0.999683537993185
2022-03-11 00:00:00+00:00,0.0,0.999683537993185
2022-03-12 00:00:00+00:00,0.0,0.999683537993185
2022-03-13 00:00:00+00:00,0.0,0.999683537993185
2022-03-14 00:00:00+00:00,0.0,0.999683537993185
2022-03-15 00:00:00+00:00,0.0,0.999683537993185
2022-03-16 00:00:00+00:00,0.0,0.999683537993185
2022-03-17 00:00:00+00:00,0.0,0.999683537993185
2022-03-18 00:00:00+00:00,0.00035963555409738773,1.0000430597362933
2022-03-19 00:00:00+00:00,3.2040466747671246e-05,1.000075101582695
2022-03-20 00:00:00+00:00,-0.00026000348489507176,0.9998150785711267
2022-03-21 00:00:00+00:00,7.988492459240415e-05,0.9998949487232848
2022-03-22 00:00:00+00:00,0.0002260363652726448,1.0001209613431485
2022-03-23 00:00:00+00:00,0.00019172473932991196,1.0003127092737605
2022-03-24 00:00:00+00:00,0.0002124052516550356,1.0005251809465074
2022-03-25 00:00:00+00:00,4.175827365993492e-05,1.0005669611508172
2022-03-26 00:00:00+00:00,0.00016649259521909858,1.0007335481408697
2022-03-27 00:00:00+00:00,0.0010074997203754676,1.001741786910792
2022-03-28 00:00:00+00:00,0.0002381404836897794,1.0019803421844593
2022-03-29 00:00:00+00:00,6.961742498027861e-05,1.0020500974757631
2022-03-30 00:00:00+00:00,-9.291566776305193e-05,1.0019569913218243
2022-03-31 00:00:00+00:00,-0.0003830592885922756,1.0015731823895284
2022-04-01 00:00:00+00:00,0.00018372575241715992,1.0017571971760637
2022-04-02 00:00:00+00:00,-0.0001190111639083649,1.0016379768860741
2022-04-03 00:00:00+00:00,0.00014351492807469099,1.0017817268882838
2022-04-04 00:00:00+00:00,-6.755995070220478e-05,1.001714046564201
2022-04-05 00:00:00+00:00,0.0,1.001714046564201
2022-04-06 00:00:00+00:00,0.0,1.001714046564201
2022-04-07 00:00:00+00:00,0.0,1.001714046564201
2022-04-08 00:00:00+00:00,0.0,1.001714046564201
2022-04-09 00:00:00+00:00,0.0,1.001714046564201
2022-04-10 00:00:00+00:00,0.0,1.001714046564201
2022-04-11 00:00:00+00:00,0.0,1.001714046564201
2022-04-12 00:00:00+00:00,0.0,1.001714046564201
2022-04-13 00:00:00+00:00,0.0,1.001714046564201
2022-04-14 00:00:00+00:00,0.0,1.001714046564201
2022-04-15 00:00:00+00:00,0.0,1.001714046564201
2022-04-16 00:00:00+00:00,0.0,1.001714046564201
2022-04-17 00:00:00+00:00,0.0,1.001714046564201
2022-04-18 00:00:00+00:00,0.0,1.001714046564201
2022-04-19 00:00:00+00:00,0.0,1.001714046564201
2022-04-20 00:00:00+00:00,0.0,1.001714046564201
2022-04-21 00:00:00+00:00,0.0,1.001714046564201
2022-04-22 00:00:00+00:00,0.0,1.001714046564201
2022-04-23 00:00:00+00:00,0.0,1.001714046564201
2022-04-24 00:00:00+00:00,0.0,1.001714046564201
2022-04-25 00:00:00+00:00,0.0,1.001714046564201
2022-04-26 00:00:00+00:00,0.0,1.001714046564201
2022-04-27 00:00:00+00:00,0.0,1.001714046564201
2022-04-28 00:00:00+00:00,0.0,1.001714046564201
2022-04-29 00:00:00+00:00,0.0,1.001714046564201
2022-04-30 00:00:00+00:00,0.0,1.001714046564201
2022-05-01 00:00:00+00:00,0.0,1.001714046564201
